test_id,task,target_item_ids,source_row_count,baseline_valid,edited_valid,baseline_error,edited_error,baseline_turn_count,edited_turn_count,baseline_answer_length,edited_answer_length,edited_curated_turn_count,edited_curated_fact_count,baseline_write_edge_count,edited_write_edge_count,baseline_contradict_edge_count,edited_contradict_edge_count,baseline_repair_edge_count,edited_repair_edge_count,answer_delta,baseline_has_correction,baseline_has_repair_language,baseline_correct_fact_recovered,baseline_old_error_recurs_without_correction,baseline_repair_success,baseline_rev_score,edited_has_correction,edited_has_repair_language,edited_correct_fact_recovered,edited_old_error_recurs_without_correction,edited_repair_success,edited_rev_score,edited_curated_covered,edited_reduced_write_edges,edited_added_contradiction_edges,edited_added_repair_edges,edited_score_delta,edited_improved,edited_regressed
REV_026,REV,364079,7,False,False,[Errno 22] Invalid argument: 'bronze_memory_peer.json',[Errno 22] Invalid argument: 'bronze_memory_peer.json',0,4,0,1739,0,0,0,17,0,0,0,0,edited_only,False,False,False,False,False,0,True,True,True,False,True,2,False,False,False,False,2,True,False
REV_027,REV,364140,7,True,True,,,7,7,1238,1988,5,30,49,25,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,True,True,False,False,0,False,False
REV_028,REV,364160,8,True,True,,,8,8,2664,3147,0,0,36,33,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_029,REV,364666,7,True,True,,,7,7,2037,2620,0,0,36,21,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_030,REV,363926,7,False,False,[Errno 22] Invalid argument: 'bronze_memory_peer.json',[Errno 22] Invalid argument: 'vector_db_bronze_peer\\id_to_text.pkl',1,1,331,968,0,0,4,1,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_031,REV,364263,7,True,True,,,7,7,3592,2270,0,0,14,33,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,False,False,False,0,False,False
REV_032,REV,364622,8,True,False,,[Errno 22] Invalid argument: 'bronze_memory_peer.json',8,1,3376,545,0,0,40,1,3,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_033,REV,363252,7,True,True,,,7,7,2212,3228,5,45,43,25,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,True,True,False,False,0,False,False
REV_034,REV,363537,7,True,True,,,7,7,3789,3258,0,0,28,45,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,False,False,False,0,False,False
REV_035,REV,363844,7,False,False,[Errno 22] Invalid argument: 'bronze_memory_peer.json',[Errno 22] Invalid argument: 'bronze_memory_peer.json',6,5,2730,2650,0,0,9,7,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_036,REV,363170,8,False,True,[Errno 22] Invalid argument: 'bronze_memory_peer.json',,7,8,3216,2025,6,108,13,33,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,True,False,False,False,0,False,False
REV_037,REV,364605,7,True,True,,,7,7,4375,2106,0,0,17,22,0,3,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,False,True,False,0,False,False
REV_038,REV,364222,7,True,False,,[Errno 22] Invalid argument: 'bronze_memory_peer.json',7,4,2460,1120,0,0,45,7,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,True,False,False,0,False,False
REV_039,REV,364018,7,True,True,,,7,7,4100,2037,0,0,16,28,0,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,False,False,False,0,False,False
REV_040,REV,363449,8,False,True,[Errno 22] Invalid argument: 'bronze_memory_peer.json',,3,8,1175,2937,0,0,10,29,1,0,0,0,changed,True,True,True,False,True,2,True,True,True,False,True,2,False,False,False,False,0,False,False
