test_id,false_premise_type,target_item_id,false_premise,correct_fact,answer_delta,baseline_valid,baseline_error,baseline_answer_length,baseline_has_correction,baseline_has_correct_fact,baseline_mentions_wrong_value,baseline_possible_false_acceptance,baseline_retrieved_memory_count,baseline_used_memory_count,baseline_curated_fact_count,baseline_curated_covered,edited_valid,edited_error,edited_answer_length,edited_has_correction,edited_has_correct_fact,edited_mentions_wrong_value,edited_possible_false_acceptance,edited_retrieved_memory_count,edited_used_memory_count,edited_curated_fact_count,edited_curated_covered,edited_added_correction,edited_lost_correction,edited_added_correct_fact,edited_lost_correct_fact
FPI_023,wrong_collection,363393,《变形龙纹鬲》（ID 363393）现藏于上海博物馆。,知识库记载的馆藏信息为：藏中国国家博物馆。,changed,True,,1155,True,True,False,False,8,0,0,False,True,,1316,True,True,False,False,8,0,0,False,False,False,False,False
FPI_024,wrong_collection,364101,《波曲纹人足壶》（ID 364101）现藏于中国社会科学院考古研究所。,知识库记载的馆藏信息为：藏山西省考古研究院。,changed,True,,1249,True,True,False,False,8,2,0,False,True,,564,True,False,False,False,8,2,0,False,False,False,False,True
FPI_025,wrong_collection,363565,《􀂸簋》（ID 363565）现藏于浙江省博物馆。,知识库记载的馆藏信息为：藏扶风县博物馆。,changed,True,,217,True,False,False,False,8,1,0,False,True,,670,True,True,False,False,8,0,0,False,False,False,True,False
FPI_026,wrong_collection,363479,《集𬖡甗》（ID 363479）现藏于山西省考古研究院。,知识库记载的馆藏信息为：藏上海博物馆。,changed,True,,1465,True,True,False,False,8,0,0,False,True,,329,True,False,False,False,8,1,0,False,False,False,False,True
FPI_027,wrong_collection,364844,《日月贞明八卦纹镜》（ID 364844）现藏于辽宁省博物馆。,知识库记载的馆藏信息为：藏洛阳博物馆。,changed,True,,1501,True,True,False,False,8,0,0,False,True,,550,True,False,False,False,8,0,0,False,False,False,False,True
FPI_028,wrong_collection,363385,《赵亡智鼎》（ID 363385）现藏于河南博物院。,知识库记载的馆藏信息为：藏上海博物馆。,changed,True,,484,True,True,False,False,8,1,0,False,True,,504,True,False,False,False,8,0,0,False,False,False,False,True
FPI_029,wrong_collection,364508,《兽面纹铙》（ID 364508）现藏于陕西历史博物馆。,知识库记载的馆藏信息为：藏山西省考古研究院。,changed,True,,1371,True,True,False,False,8,1,0,False,True,,596,True,False,False,False,8,1,0,False,False,False,False,True
FPI_030,wrong_collection,364386,《龙纹禁》（ID 364386）现藏于陕西历史博物馆。,知识库记载的馆藏信息为：藏天津博物馆。,changed,True,,246,False,False,False,False,8,1,0,False,True,,630,True,False,False,False,8,0,0,False,True,False,False,False
FPI_031,wrong_use,364766,《四兽纹镜》（ID 364766）是饮酒器。,知识库摘要记载其为：战国照容用具。,changed,True,,1082,True,False,True,False,8,0,0,False,True,,924,True,False,True,False,8,0,0,False,False,False,False,False
FPI_032,wrong_use,363235,《交鼎》（ID 363235）是乐器。,知识库摘要记载其为：西周早期肉食器。,changed,True,,346,True,False,True,False,8,1,0,False,True,,845,True,False,True,False,8,0,5,True,False,False,False,False
FPI_033,wrong_use,363853,《雷纹顶流觚》（ID 363853）是盛酒器。,知识库摘要记载其为：商代中期饮酒器。,changed,True,,1160,True,False,True,False,8,0,0,False,True,,827,True,False,True,False,8,0,0,False,False,False,False,False
FPI_034,wrong_use,364773,《五山纹镜》（ID 364773）是饭食器。,知识库摘要记载其为：战国照容用具。,changed,True,,375,True,False,True,False,8,1,0,False,True,,928,True,False,True,False,8,0,0,False,False,False,False,False
FPI_035,wrong_use,363404,《伯矩鬲》（ID 363404）是兵器。,知识库摘要记载其为：西周早期肉食器。,changed,True,,1612,True,False,True,False,8,0,0,False,True,,971,True,False,True,False,8,0,0,False,False,False,False,False
FPI_036,wrong_use,363290,《大鼎》（ID 363290）是盛酒器。,知识库摘要记载其为：西周晚期肉食器。,changed,True,,842,True,False,True,False,8,0,0,False,True,,988,True,False,True,False,8,0,0,False,False,False,False,False
FPI_037,wrong_use,364568,《变形兽面纹钲》（ID 364568）是盛酒器。,知识库摘要记载其为：春秋乐器。,changed,True,,877,True,False,True,False,8,0,0,False,True,,976,True,False,True,False,8,0,0,False,False,False,False,False
FPI_038,wrong_use,364757,《透雕龙纹镜》（ID 364757）是饮酒器。,知识库摘要记载其为：战国照容用具。,changed,True,,461,True,False,True,False,8,1,0,False,True,,90,True,False,True,False,8,1,0,False,False,False,False,False
FPI_039,wrong_use,364640,《菱形纹剑》（ID 364640）是肉食器。,知识库摘要记载其为：战国早期兵器。,changed,True,,921,True,False,True,False,8,0,0,False,True,,1027,True,False,False,False,8,0,0,False,False,False,False,False
FPI_040,wrong_use,363716,《陈公子中庆簠》（ID 363716）是乐器。,知识库摘要记载其为：春秋中期饭食器。,changed,True,,486,True,False,True,False,8,1,0,False,True,,314,True,False,True,False,8,1,0,False,False,False,False,False
FPI_041,wrong_category,363355,《交龙纹鼎》（ID 363355）属于钟类。,知识库字段 category 记载其类别为：鼎。,changed,True,,1308,True,True,True,False,8,0,0,False,True,,645,True,False,True,False,8,0,0,False,False,False,False,True
FPI_042,wrong_category,363753,《镶嵌交龙纹豆》（ID 363753）属于剑类。,知识库字段 category 记载其类别为：豆。,changed,True,,943,True,True,True,False,8,0,0,False,True,,469,True,False,True,False,8,1,0,False,False,False,False,True
FPI_043,wrong_category,363603,《邓公簋》（ID 363603）属于钟类。,知识库字段 category 记载其类别为：簋。,changed,True,,408,True,False,True,False,8,1,0,False,True,,690,True,False,True,False,8,2,0,False,False,False,False,False
FPI_044,wrong_category,363259,《夆方鼎》（ID 363259）属于剑类。,知识库字段 category 记载其类别为：鼎。,changed,True,,859,True,True,True,False,8,0,0,False,True,,966,True,False,True,False,8,1,8,True,False,False,False,True
FPI_045,wrong_category,364811,《建安十年神人神兽镜》（ID 364811）属于簋类。,知识库字段 category 记载其类别为：镜。,changed,True,,1020,True,True,True,False,8,0,0,False,True,,1160,True,False,True,False,8,0,0,False,False,False,False,True
FPI_046,wrong_category,363238,《兽面纹鼎》（ID 363238）属于匜类。,知识库字段 category 记载其类别为：鼎。,changed,True,,822,True,True,True,False,8,0,0,False,True,,199,True,False,True,False,8,1,23,True,False,False,False,True
FPI_047,wrong_category,363450,《商妇甗》（ID 363450）属于钟类。,知识库字段 category 记载其类别为：甗。,changed,True,,89,False,False,True,True,8,1,0,False,True,,1008,True,True,True,False,8,0,0,False,True,False,True,False
FPI_048,wrong_category,364410,《散盘》（ID 364410）属于戈类。,知识库字段 category 记载其类别为：盘。,changed,True,,895,True,True,True,False,8,0,0,False,True,,1040,True,False,True,False,8,1,0,False,False,False,False,True
FPI_049,wrong_category,364710,《光和二年大司农平斛》（ID 364710）属于鼎类。,知识库字段 category 记载其类别为：量。,changed,True,,438,True,True,True,False,8,1,0,False,True,,1180,True,False,True,False,8,1,0,False,False,False,False,True
FPI_050,wrong_category,364392,《丁􀒎盘》（ID 364392）属于尊类。,知识库字段 category 记载其类别为：盘。,changed,True,,862,True,False,True,False,8,0,0,False,True,,1339,True,False,True,False,8,1,0,False,False,False,False,False
FPI_051,wrong_height,363548,《小臣𧫻簋》（ID 363548）高39.5厘米。,知识库记载其高度为：高24.5厘米。,changed,True,,912,True,False,False,False,8,0,0,False,True,,332,True,False,False,False,8,7,0,False,False,False,False,False
FPI_052,wrong_height,364432,《封孙宅盘》（ID 364432）高32.3厘米。,知识库记载其高度为：高12.3厘米。,changed,True,,216,True,False,False,False,8,1,0,False,True,,206,True,False,False,False,8,1,0,False,False,False,False,False
FPI_053,wrong_height,364407,《墙盘》（ID 364407）高21.2厘米。,知识库记载其高度为：高16.2厘米。,changed,True,,241,True,False,False,False,8,0,0,False,True,,360,True,False,False,False,8,2,0,False,False,False,False,False
FPI_054,wrong_height,364480,《􀆦伯蓥》（ID 364480）高51.7厘米。,知识库记载其高度为：高21.7厘米。,changed,True,,784,True,False,False,False,8,0,0,False,True,,253,True,False,False,False,8,1,0,False,False,False,False,False
FPI_055,wrong_height,363199,《小臣缶方鼎》（ID 363199）高44.6厘米。,知识库记载其高度为：高29.6厘米。,changed,True,,920,False,False,False,False,8,0,0,False,True,,558,True,False,False,False,8,0,4,True,True,False,False,False
FPI_056,wrong_height,363364,《褱鼎》（ID 363364）高62.4厘米。,知识库记载其高度为：高32.4厘米。,edited_only,False,[Errno 22] Invalid argument: 'bronze_memory_peer.json',0,False,False,False,False,8,0,0,False,True,,584,True,False,False,False,8,0,0,False,True,False,False,False
FPI_057,wrong_height,364520,《梁其钟》（ID 364520）高60.4厘米。,知识库记载其高度为：高55.4厘米。,changed,True,,245,True,False,False,False,8,1,0,False,True,,545,True,True,False,False,8,2,0,False,False,False,True,False
FPI_058,wrong_height,363152,《兽面纹扁足鼎》（ID 363152）高39.4厘米。,知识库记载其高度为：高19.4厘米。,changed,True,,977,True,False,False,False,8,0,0,False,True,,780,True,True,False,False,8,0,17,True,False,False,True,False
FPI_059,wrong_height,363845,《晨肇宁角》（ID 363845）高48厘米。,知识库记载其高度为：高28厘米。,changed,True,,99,True,False,False,False,8,1,0,False,True,,115,True,False,False,False,8,2,0,False,False,False,False,False
FPI_060,wrong_height,364562,《能原镈》（ID 364562）高45.8厘米。,知识库记载其高度为：高40.8厘米。,changed,True,,1068,True,False,False,False,8,0,0,False,True,,106,True,False,False,False,8,1,0,False,False,False,False,False
FPI_061,wrong_weight,363707,《白公父簠》（ID 363707）重10.75千克。,知识库记载其重量为：重5.75千克。,changed,True,,1026,True,False,False,False,8,0,0,False,True,,665,True,False,False,False,8,0,0,False,False,False,False,False
FPI_062,wrong_weight,363487,《癸􀒎簋》（ID 363487）重2.78千克。,知识库记载其重量为：重1.78千克。,changed,True,,1254,True,True,False,False,8,0,0,False,True,,954,True,False,False,False,8,0,0,False,False,False,False,True
FPI_063,wrong_weight,363687,《𩰫从􀊈》（ID 363687）重7.58千克。,知识库记载其重量为：重4.58千克。,changed,True,,160,True,False,False,False,8,1,0,False,True,,273,True,False,False,False,8,1,0,False,False,False,False,False
FPI_064,wrong_weight,364460,《变形龙纹匜》（ID 364460）重14.88千克。,知识库记载其重量为：重4.88千克。,changed,True,,1255,True,True,False,False,8,0,0,False,True,,201,True,False,False,False,8,1,0,False,False,False,False,True
FPI_065,wrong_weight,363591,《仲枏父簋》（ID 363591）重10.66千克。,知识库记载其重量为：重7.66千克。,changed,True,,164,True,False,False,False,8,1,0,False,True,,1004,True,True,False,False,8,0,0,False,False,False,True,False
FPI_066,wrong_weight,363827,《龢爵》（ID 363827）重50.98千克。,知识库记载其重量为：重0.98千克。,changed,True,,1402,True,False,False,False,8,0,0,False,True,,990,True,False,False,False,8,0,0,False,False,False,False,False
FPI_067,wrong_weight,363585,《即簋》（ID 363585）重53.8千克。,知识库记载其重量为：重3.8千克。,changed,True,,186,True,False,False,False,8,1,0,False,True,,1274,True,False,False,False,8,0,0,False,False,False,False,False
FPI_068,wrong_weight,363404,《伯矩鬲》（ID 363404）重13.25千克。,知识库记载其重量为：重8.25千克。,changed,True,,178,True,False,False,False,8,1,0,False,True,,1282,True,False,False,False,8,0,0,False,False,False,False,False
FPI_069,wrong_weight,363567,《彔簋》（ID 363567）重8.48千克。,知识库记载其重量为：重3.48千克。,changed,True,,260,True,False,False,False,8,4,0,False,True,,201,True,False,False,False,8,1,0,False,False,False,False,False
FPI_070,wrong_weight,363987,《庚姬尊》（ID 363987）重25.8千克。,知识库记载其重量为：重5.8千克。,changed,True,,438,True,False,False,False,8,0,0,False,True,,1606,True,False,False,False,8,0,0,False,False,False,False,False
FPI_071,wrong_inscription,363831,《丰爵》（ID 363831）铸有“大禾”铭文。,知识库记载其铭文为：丰作父辛宝木羊册。,changed,True,,519,True,False,False,False,8,0,0,False,True,,282,True,False,False,False,8,1,0,False,False,False,False,False
FPI_072,wrong_inscription,364726,《阳信家炉》（ID 364726）铸有“亚酗”铭文。,知识库记载其铭文为：阳信家铜炉，容斗九升。,changed,True,,21,False,False,False,False,8,1,0,False,True,,925,True,True,False,False,8,0,0,False,True,False,True,False
FPI_073,wrong_inscription,363181,《子􀑹君妻鼎》（ID 363181）铸有“成周”铭文。,知识库记载其铭文为：子􀑹君妻。,changed,True,,224,True,False,False,False,8,1,0,False,True,,924,True,False,False,False,8,0,8,True,False,False,False,False
FPI_074,wrong_inscription,363968,《者㚸方尊》（ID 363968）铸有“中”铭文。,知识库记载其铭文为：亚酗者㚸以大子尊彝。,changed,True,,177,True,False,False,False,8,1,0,False,True,,208,True,False,False,False,8,1,0,False,False,False,False,False
FPI_075,wrong_inscription,364608,《曾侯乙戈》（ID 364608）铸有“亚酗”铭文。,知识库记载其铭文为：曾侯乙之走戈。,changed,True,,165,True,False,False,False,8,1,0,False,True,,101,True,False,False,False,8,2,6,True,False,False,False,False
FPI_076,wrong_inscription,363505,《枚父辛簋》（ID 363505）铸有“司母戊”铭文。,知识库记载其铭文为：枚父辛。,changed,True,,236,True,False,False,False,8,1,0,False,True,,304,True,False,False,False,8,2,0,False,False,False,False,False
FPI_077,wrong_inscription,364599,《吴王光戈》（ID 364599）铸有“宁”铭文。,知识库记载其铭文为：大王光𧻚自作用戈。,changed,True,,464,True,False,False,False,8,3,0,False,True,,778,True,False,False,False,8,0,0,False,False,False,False,False
FPI_078,wrong_inscription,363842,《亚址角》（ID 363842）铸有“亚酗”铭文。,知识库记载其铭文为：亚址。,changed,True,,452,True,False,False,False,8,0,0,False,True,,583,True,False,False,False,8,1,0,False,False,False,False,False
FPI_079,wrong_inscription,363250,《遽从鼎》（ID 363250）铸有“宁”铭文。,知识库记载其铭文为：遽从。,changed,True,,511,True,False,False,False,8,0,0,False,True,,865,True,False,False,False,8,0,10,True,False,False,False,False
FPI_080,wrong_inscription,364228,《静卣》（ID 364228）铸有“父戊”铭文。,知识库记载其铭文为：王命静𤔲射学宫。,changed,True,,799,True,False,False,False,8,0,0,False,True,,395,True,False,False,False,8,0,0,False,False,False,False,False
